HotelName,Address,OriginalRentNight,Discount,AmountPayableNight,Rating,Facility,ReviewRating,RoomQuality,Location
OYO Flagship Hotel R Square,"Dilsukhnagar, Hyderabad·       4.9 km",3115.0,65,1090.0,4.6, Modern wardrobe  Modern wardrobe  AC  + 14 more,2497,Excellent,Hyderabad
Super OYO Townhouse 1033 Ameerpet,"Ameerpet Mandal, Hyderabad·       7.6 km",6814.0,65,2385.0,2.5, Reception  Power backup  Security  + 12 more,65,very good,Hyderabad
OYO Hotel Meredian near Nampally Railway statiom,"Telanganaindia500002, Hyderabad·       2.3 km",2592.0,67,835.0,3.7, AC  AC  TV  + 1 more,773,Good,Hyderabad
OYO Hotel Priya Residency,"Near Raniganj, MG Road, Hyderabad·       5.4 km",2519.0,64,882.0,3.8, Parking facility  Reception  Free Wifi  + 10 more,36,Good,Hyderabad
OYO Flagship 80983G RBS Square Langer Houz,"Hyderabad, Hyderabad·       7.4 km",2309.0,69,699.0,4.3, Reception  Free Wifi  24/7 check-in  + 10 more,1510,Very Good,HyderabadHyderabad
Super OYO Capital O 71317 White Ridge,"Near Khazana Jewellery, Dilsukhnagar, Hyderabad·       5.1 km",4254.0,65,1489.0,3.5, Elevator  Free Wifi  Geyser  + 7 more,1200,Good,Hyderabad
OYO Hotel Vaishnavi Park,"Near Monda Market, Shivaji Nagar, Hyderabad·       5.8 km",3268.0,64,1144.0,3.7, Queen Sized Bed ,960,Good,Hyderabad
Super OYO TOWNHOUSE 81794 BANJARAHILLS NEAR GVK MALL,"Masab Tank, Hyderabad·       4.3 km",4309.0,65,1508.0,4.4, AC  TV ,505,Very Good,Hyderabad
Super OYO Flagship Langar Houz Near Golconda Fort,"Bapu Nagar, Hyderabad·       7.1 km",5109.0,67,1645.0,3.2, Private entrance  Reception  Free Wifi  + 13 more,46,very good,Hyderabad
OYO Hotel New Platinum opp New malakpet metro station,"Saleemnagar Colony, Malakpet, Hyderabad·       3.1 km",2537.0,67,817.0,4.0, AC  TV ,1913,Very Good,Hyderabad
Super OYO 40852 Hotel White Ridge,"Near Dilsukhnagar metro station, Krishna Nagar, Hyderabad.·       4.6 km",4099.0,64,1435.0,4.8, Reception  Free Wifi  Power backup  + 6 more,18,Excellent,Hyderabad
OYO Flagship 811338 Royal Stay Homes Near Asian Mall Attapur,"Radha Krishna Nagar, Hyderabad·       7.4 km",3657.0,67,1178.0,3.9, Free Wifi  Geyser  Power backup  + 3 more,675,Good,Hyderabad
SPOT ON Gayatri Lodge Near Snow World,"Ranigunj, Hyderabad·       5.4 km",1844.0,67,594.0,4.7, Private entrance  Reception  Free Wifi  + 11 more,4019,Excellent,Hyderabad
Super OYO Townhouse 164 ESI Hospital Near Hyderabad Central,"Sanath Nagar, Hyderabad·       8.8 km",5592.0,65,1957.0,3.9, Elevator  Free Wifi  Geyser  + 7 more,1184,Good,Hyderabad
Flagship Ramoji Kothapet Near Miraj Cinemas - Shalini Shivani,"Kothapet, Hyderabad·       5.8 km",3730.0,67,1222.0,3.9, Elevator  Free Wifi  Geyser  + 9 more,1185,Good,Hyderabad
Super OYO Townhouse 265 RCC Elite,"Opp To J S Babu Silks, Hyderabad·       6.1 km",8181.0,65,2863.0,5.0, Parking facility  Reception  Free Wifi  + 14 more,3089,Fabulous,Hyderabad
Super OYO Capital O Alpine Glow Sunrise Near Hyderabad Public School,"Near RBI Quarters, Begumpet, Hyderabad·       7.4 km",3781.0,65,1323.0,4.4, Free Wifi  Power backup  Full Sized Bed  + 13 more,1011,Very Good,Hyderabad
Collection O Banjara Hills Near GVK One Mall,"Near Aasha hospital, Venkat Nagar, Hyderabad·       7.1 km",5314.0,65,1860.0,4.3, Reception  Caretaker  Power backup  + 23 more,2039,Very Good,Hyderabad
OYO Devi Residency Near Mahakali Temple,"Rani Gunj, Hyderabad·       5.5 km",3317.0,65,1161.0,3.6, Reception  Cot  Free Wifi  + 21 more,922,Good,Hyderabad
SPOT ON 810214 The Hotel Vivin,"ward 96 yousufguda , Hyderabad·       9.3 km",2728.0,67,879.0,3.4, Free Wifi  AC  TV ,172,very good,Hyderabad
Super OYO Collection O 78286 White Ridge Near LB Nagar,"L B Nagar, Hyderabad·       8.6 km",4542.0,64,1590.0,4.4, Reception  Free Wifi  Power backup  + 11 more,1904,Very Good,Hyderabad
OYO Hotel Holiday Rani Gunj Opp Punjab national bank,"M.G Road, Near Rani Gunj X road, Opp. Punjab National Bank, Secunderabad, Hyderabad·       5.4 km",2881.0,65,1008.0,4.3, Parking facility  Reception  Free Wifi  + 14 more,1422,Very Good,Hyderabad
OYO Hotel Pariwar Inn Near Charminar,"Ghansi Bazaar, Hyderabad·       1.8 km",3795.0,67,1222.0,1.0, Reception  Free Wifi  24/7 check-in  + 11 more,0,very good,Hyderabad
Super OYO Capital O Hotel Vaishnavi,"Near Csi Wesley Church, Paras Towers, Hyderabad·       6.1 km",5402.0,64,1891.0,4.3, Parking facility  Free Wifi  Power backup  + 21 more,1179,Very Good,Hyderabad
OYO Luxury Villas Near Begumpet Airport,"Begumpet, Hyderabad·       7.0 km",3115.0,69,949.0,3.3, Free Wifi  Attached Washroom  Power backup  + 13 more,270,very good,Hyderabad
Townhouse OAK The Margi Hotel Near Yosufguda Metro Station,"Yousufguda, Hyderabad·       8.0 km",5352.0,67,1724.0,4.0, Parking facility  Elevator  Free Wifi  + 8 more,954,Very Good,Hyderabad
Collection O Hotel Park Heights Banjara Hills Near Gvk One Mall,"Banjara Hills, Hyderabad·       6.6 km",4794.0,67,1544.0,3.7, Reception  Power backup  Refrigerator  + 38 more,1085,Good,Hyderabad
Super OYO Capital O Alpine Glow Pinnacle,"Near Veg Market, Bowenpally, Hyderabad·       9.4 km",4494.0,67,1447.0,4.5, Free Wifi  Power backup  Card payment  + 14 more,2654,Excellent,Hyderabad
OYO Holiday Inn,"Telephone Calony Road Kothapet, Hyderabad·       6.6 km",3474.0,65,1216.0,4.2, Parking facility  Free Wifi  Geyser  + 7 more,420,Very Good,Hyderabad
Capital O 9960 Hotel Grand Himayat,"Wajihuddin Estate, Himayatnagar, Hyderabad·       1.9 km",8305.0,65,2907.0,3.8, Doctor on call  Parking facility  Reception  + 16 more,19,Good,Hyderabad
Super OYO Flagship Hotel Vaishnavi Palace,"#2-4-133 Beside KFC, Mahatma Gandhi Rd, Secunderabad, Telangana, Hyderabad·       5.7 km",4179.0,64,1463.0,4.1, AC  TV  Queen Sized Bed  + 3 more,1297,Very Good,Hyderabad
Super OYO 16428 Hotel Vaishnavi Inn,"Secunderabad, Hyderabad·       5.4 km",4771.0,65,1670.0,4.2, Living Room  Reception  Washing Machine  + 109 more,2085,Very Good,Hyderabad
OYO Vasundhara Guest House Near Tankbund,"Near Bombay Hotel, Hyderabad·       5.2 km",2477.0,67,798.0,3.1, Free Wifi  Geyser  Power backup  + 2 more,832,very good,Hyderabad
Super OYO Townhouse OAK Hotel Belsons Taj Mahal,"Near Swapnalok Complex, Patny Centre, Hyderabad·       6.4 km",4839.0,64,1694.0,4.6, Reception  Free Wifi  Bedside Table / Desk  + 16 more,1590,Excellent,Hyderabad
OYO Mayur's Residency Near Malkpet,"Near Sri Krupa Market, Malakpet, Hyderabad·       2.4 km",3172.0,65,1110.0,3.9, Doctor on call  Reception  Power backup  + 25 more,1007,Good,Hyderabad
OYO Flagship 813203 Hotel Dcresent,"Hyderabad Telangana , Hyderabad·       8.8 km",3154.0,65,1092.0,4.0, Free Wifi  AC  AC  + 6 more,0,NEW,HyderabadHyderabad
Flagship Kachiguda Railway Station,"Near Kumar Theatre, Kachiguda, Hyderabad·       1.1 km",4269.0,65,1494.0,3.3, Hair Dryer  Reception  Power backup  + 15 more,476,very good,Hyderabad
FLAGSHIP 807831 Vasista Residency,", Hyderabad·       8.0 km",3207.0,67,1033.0,4.3, Reception  Free Wifi  Power backup  + 13 more,1996,Very Good,Hyderabad
Super OYO Flagship Goldhorn Hotels Mehdipatnam Near Snt Ann's college,"Mehdipatnam, Hyderabad·       5.3 km",5077.0,65,1777.0,4.2, Parking facility  Private entrance  Reception  + 12 more,1427,Very Good,Hyderabad
Super OYO Flagship 75519 White Ridge,"Near Sai Sanjeevani Hospital, Huda Colony, Hyderabad·       6.6 km",5511.0,65,1929.0,3.9, Elevator  Free Wifi  Geyser  + 3 more,416,Good,Hyderabad
Super OYO Hotel Padmini Near Lakdikapool Metro Station,"Lakdikapul, Hyderabad·       3.4 km",4488.0,65,1571.0,4.0, AC  TV ,0,NEW,Hyderabad
OYO Flagship 813020 The Metro International Hotel,"Nayapul, Hyderabad·       2.0 km",4074.0,65,1426.0,3.5, Elevator  Parking facility  Free Wifi  + 6 more,767,Good,Hyderabad
Collection O 80304 Hotel PNR Banjara Hills Near LV PRASAD HOSPITAL,"Guru Bramaha, Hyderabad·       6.4 km",3608.0,64,1263.0,3.5, Reception  Free Wifi  Power backup  + 11 more,417,Good,Hyderabad
OYO Flagship Hotel Elite Stay Near Habsiguda Metro Station,"Secunderabad, Hyderabad·       8.3 km",3342.0,64,1170.0,4.1, Free Wifi  AC  AC  + 3 more,1340,Very Good,Hyderabad
Super OYO 40869 White Ridge,"Near Sanjeevini Hospital, Kothapet road, Hyderabad·       7.1 km",4099.0,64,1435.0,3.7, Geyser  Power backup  AC  + 2 more,628,Good,Hyderabad
Flagship Happy Guest House near LV Prasad eye Hospital,"Near Star Super Market, Banjara Hills, Hyderabad·       7.3 km",4184.0,65,1464.0,3.9, Elevator  Geyser  Power backup  + 3 more,1604,Good,Hyderabad
OYO Hotel Palak Residency Near Erragadda Metro Station,"Metro Pillar no: A947, 2nd Floor, Beside Erragadda Metro Station, Above Bajaj Showroom, Hyderabad·       9.9 km",3448.0,64,1207.0,3.6, Elevator  Free Wifi  Geyser  + 5 more,1786,Good,Hyderabad
Super OYO Capital O 65104 Che Sigma Hotel,"Near Narayana High School, Chinthalkunta, Hyderabad·       8.6 km",4365.0,64,1528.0,3.5, Elevator  Free Wifi  Geyser  + 9 more,35,Good,Hyderabad
OYO Home Peaceful stay villa,"India Hyderabad, Hyderabad·       6.4 km",3388.0,67,1091.0,4.1, Parking facility  Reception  Free Wifi  + 18 more,298,Very Good,HyderabadHyderabad
Super OYO Flagship Qualia Hotel Dilsukhnagar Near Dilsukhnagar Metro Station,"Dilshuknagar, Hyderabad·       4.5 km",4542.0,64,1590.0,4.1, Reception  Caretaker  Power backup  + 27 more,905,Very Good,Hyderabad
OYO City Holiday,"Dilsukhnagar near Sai baba temple, Hyderabad·       4.5 km",4485.0,64,1570.0,3.3, Free Wifi  AC  TV ,927,very good,Hyderabad
OYO Townhouse 113 The Shubham Dilsukhnaga Near Miraj Cinemas - Shalini Shivani,"Kothapet, Hyderabad·       5.2 km",4077.0,65,1427.0,4.6, Parking facility  Reception  Free Wifi  + 18 more,56,Excellent,Hyderabad
Townhouses OAK Whiteridge Banjarahills,"Telangana, Hyderabad·       7.3 km",7699.0,65,2695.0,3.9, Elevator  Free Wifi  Geyser  + 4 more,0,Good,Hyderabad
OYO FLAGSHIP 810478 THE GRAVITY SPACES,"6-1-344-1, GN Heights, Bhoiguda Road, Railway Officer Colony, Walker Town, Hyderabad·       5.4 km",4993.0,69,1544.0,4.3, Parking facility  Ticket tour assistance  Reception  + 21 more,2422,Very Good,Hyderabad
Super OYO Townhouse 862 Che Sigma,"Malkajgiri, Hyderabad·       9.0 km",5665.0,65,1983.0,4.3, Elevator  Free Wifi  Geyser  + 4 more,308,Very Good,Hyderabad
OYO Hotel Saraswathi Residency Near SR Nagar Metro Station,"Near Nalanda School, S.R. Nagar, Hyderabad·       8.4 km",5787.0,65,2025.0,3.4, Elevator  Free Wifi  Geyser  + 7 more,680,very good,Hyderabad
Capital O Jubilee Banjara Suites Near City Center Mall,"Near American Hospital, Banjarahills, Hyderabad·       6.7 km",4771.0,65,1670.0,2.7, Free Wifi  AC  AC  + 5 more,15,very good,Hyderabad
Flagship Grand Sandarshini Inn Near MGBS Bus station,"Troop Bazaar, Hyderabad·       0.8 km",3497.0,66,1159.0,4.0, Elevator  Geyser  Power backup  + 3 more,0,NEW,Hyderabad
OYO Flagship 813349 Sv Hotel,"SUNCITY, Hyderabad·       9.7 km",3828.0,64,1340.0,3.7, Elevator  Reception  Free Wifi  + 8 more,906,Good,Hyderabad
Super OYO Townhouse 1118 S R Nagar Near Hyderabad Central,"Khairatabad Mandal, Hyderabad·       8.3 km",4609.0,67,1479.0,3.2, Parking facility  Reception  Free Wifi  + 21 more,125,very good,Hyderabad
Hotel NEW SHYAM near Paradise circle,"Secunderabad Mandal, Hyderabad·       6.4 km",2912.0,66,989.0,3.5, Elevator  Free Wifi  Geyser  + 7 more,162,Good,Hyderabad
OYO Imperial Guest House near Hyderabad Central,"Near Yashoda Hospital, Somajiguda, Hyderabad·       5.6 km",3654.0,65,1279.0,3.2, Parking facility  Reception  Free Wifi  + 16 more,394,very good,Hyderabad
OYO Hotel Ruma Near Nampally Railway Station,"Near City Convention Centre, Nampally, Hyderabad·       1.9 km",4379.0,64,1533.0,3.2, Doctor on call  Parking facility  Reception  + 20 more,471,very good,Hyderabad
OYO Grandeur By orbit Hotels Near Chennai shopping mall,"Ameerpet Mainroad, Hyderabad·       6.8 km",5164.0,65,1807.0,3.8, Parking facility  Reception  Free Wifi  + 14 more,513,Good,Hyderabad
OYO Jubilee Homes Near Jubillee Check post,"Centrally Located, Near Annapurna Studios, Jubilee Hills, Hyderabad·       8.1 km",2978.0,65,1042.0,3.4, Elevator  Free Wifi  Geyser  + 4 more,227,very good,Hyderabad
Super OYO Flagship Hotel Surya Residency,"Near SR Nagar Police Station, Ameerpet, Hyderabad·       7.5 km",5359.0,64,1876.0,3.9, Parking facility  Elevator  Free Wifi  + 9 more,130,Good,Hyderabad
OYO Ab7 Residency Near Miraj Cinemas - Shalini Shivani,"500 074, Hyderabad·       7.2 km",4072.0,65,1425.0,4.4, Elevator  Free Wifi  Geyser  + 4 more,528,Very Good,Hyderabad
Super OYO Collection O 80977E SS Metro Ritz,"Ameerpet, Hyderabad·       6.9 km",5032.0,65,1761.0,4.1, Elevator  Reception  Free Wifi  + 9 more,1071,Very Good,Hyderabad
Capital O Hotel Surabhi Elite Near Miraj Cinemas - Shalini Shivani,"Kothapet, Hyderabad·       6.8 km",8812.0,65,3084.0,3.0, Free Wifi  AC  TV  + 1 more,99,very good,Hyderabad
SPOT ON 74966 Shree Amardeep Hotel,"Near Kims hospital, Pan Bazar, Hyderabad·       5.5 km",3677.0,65,1287.0,4.0, Parking facility  Reception  Free Wifi  + 12 more,0,NEW,Hyderabad
Collection O 811403 Hotel New Royal Plaza Nampally,"5-7-51502 Beside yousofien darga near to  Nampally Railway station Rd Nampally 500001, Hyderabad·       2.4 km",5003.0,66,1685.0,3.5, Elevator  Free Wifi  Geyser  + 5 more,17,Good,Hyderabad
Collection O Relax Inn,"Jogani, Hyderabad·       6.3 km",6200.0,70,1849.0,4.7, Elevator  Free Wifi  Geyser  + 4 more,0,Excellent,Hyderabad
Collection O 811224 Hotel Grand Brundavan,"Hyderabad, Hyderabad·       5.7 km",4368.0,70,1273.0,3.7, Elevator  Free Wifi  Geyser  + 4 more,87,Good,HyderabadHyderabad
Collection O Hotel Chirag Stay鈥檚,"Hyderabad, Hyderabad·       6.9 km",4995.0,65,1748.0,3.6, Living Room  Reception  Cot  + 20 more,88,Good,HyderabadHyderabad
Collection O Hotel White House Silverkey Near Film nagar,"Road No 9, film nagar·       8.9 km",4651.0,67,1498.0,4.0, Elevator  Free Wifi  Geyser  + 4 more,0,NEW,
Collection O 813080 Hotel Pnr International Mehdipatnam,"Hyderabad, Hyderabad·       3.6 km",4048.0,65,1417.0,3.4, Private entrance  Reception  Free Wifi  + 16 more,549,very good,HyderabadHyderabad
OYO Hotel Regal Near Paradise Circle,"M.g Road, Hyderabad·       6.4 km",4017.0,65,1406.0,3.5, Reception  Free Wifi  Power backup  + 13 more,66,Good,Hyderabad
OYO Hotel Swiss Legrand Near Gandhi Hospital Metro Station,"Near Nanking Cinese Restaurent, Ramnagar, Hyderabad·       7.8 km",3668.0,64,1284.0,3.3, Elevator  Free Wifi  Geyser  + 9 more,234,very good,Hyderabad
Flagship Hotel Golden Park( Vvg Grand) Near Asian Satyam Mall,"Near Satyam Theatre, Ameerpet, Hyderabad·       7.1 km",6538.0,65,2288.0,2.8, Elevator  Free Wifi  Geyser  + 4 more,0,very good,Hyderabad
Collection O 811722 Hotel 3m International,"Aghapura, Hyderabad·       2.3 km",4771.0,65,1670.0,3.9, Reception  Public washroom  Free Wifi  + 14 more,576,Good,Hyderabad
OYO Hotel Aroma Classic Near Nampally Railway station,"15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad, Hyderabad·       1.6 km",,47,,3.2, Reception  Free Wifi  Caretaker  + 14 more,87,very good,HyderabadHyderabad
SPOT ON Bhavani Rest Rooms,"Monda Market, Hyderabad·       5.6 km",,47,,4.2, Elevator  Free Wifi  Geyser  + 4 more,23,Very Good,Hyderabad
OYO Flagship 812329 Shri Ganesh Residency,"Hyderabad, Hyderabad·       1.7 km",,47,,4.1, Free Wifi  Geyser  Power backup  + 1 more,732,Very Good,HyderabadHyderabad
Super OYO Flagship Relax Grand Near Snow World,"Secunderabad Mandal, Hyderabad·       5.4 km",,47,,3.7, Reception  Public washroom  Caretaker  + 23 more,247,Good,Hyderabad
SPOT ON Sri Sai Lohith Lodge Near Secunderabad Railway Station,"Red Cross Roadnull, Hyderabad·       6.1 km",,47,,4.2, Free Wifi  Geyser  Power backup  + 1 more,278,Very Good,Hyderabad
Flagship Lakeview Palace Near Snow world,"Banjara Hills, Hyderabad·       4.9 km",,47,,4.2, Parking facility  Reception  Free Wifi  + 11 more,1312,Very Good,Hyderabad
OYO Home Pramod Prime Homes Near More super market,"Nagole, Hyderabad·       8.1 km",,47,,5.0, Free Wifi  TV  AC ,1949,Fabulous,Hyderabad
Super OYO Collection O RCC Pristine,"Ameerpet, Hyderabad·       6.8 km",,47,,5.0, AC  TV  24/7 check-in ,643,Fabulous,Hyderabad
Super OYO Alpine Glow Crest,"Shop No. 10-4-A/130/2, Addagutta Road, Teachers Colony, East Marredpally·       7.0 km",,47,,4.6, Parking facility  Free Wifi  Power backup  + 10 more,221,Excellent,
SPOT ON Gopi Mini Guest House Near Erragadda Metro Station,"Erragadda, Hyderabad·       9.7 km",,47,,4.0, Cot  Balcony  Power backup  + 28 more,147,Very Good,Hyderabad
Super OYO Gokul Grand Near SR Nagar Police Station,"Near SR Nagar Police station, Ameerpet, Hyderabad·       7.4 km",,47,,4.5, Elevator  Free Wifi  Geyser  + 4 more,2102,Excellent,Hyderabad
OYO V Guest Inn Near Hyderabad Central,"Ameerpet, Hyderabad·       7.2 km",,47,,4.3, Reception  Cot  Public washroom  + 22 more,2092,Very Good,Hyderabad
Super OYO Mint Leaves Near Alcazar Mall,"Annapurna Studios, Jubilee Hills, Hyderabad·       8.4 km",,47,,3.7, Parking facility  Free Wifi  Power backup  + 10 more,530,Good,Hyderabad
OYO Sai Residency Near SR Nagar metro station,"Near Sr nagar metro station, Jawahar Nagar, Hyderabad·       8.7 km",,47,,3.1, Reception  Free Wifi  Geyser  + 9 more,484,very good,Hyderabad
Collection O 810930 THE CROWN HOTEL,"Ameerpet Road, Hyderabad·       7.0 km",,47,,4.0, Elevator  Free Wifi  Geyser  + 4 more,45,Very Good,Hyderabad
SPOT ON Yatra Inn Near Lalbagh Botanical Garden,"Lalbagh, Bangalore·       2.0 km",2931.0,64,1026.0,5.0, Reception  Free Wifi  Power backup  + 4 more,2678,Fabulous,Bangalore
Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near KEB Colony, BTM Layout 1, Bangalore·       6.2 km",2501.0,67,807.0,3.6, Reception  Free Wifi  Power backup  + 12 more,1925,Good,Bangalore
OYO Hotel Townhall,"Near Dhanlakshmi Bank, JC Road, Bangalore·       1.6 km",2729.0,65,955.0,4.0, Parking facility  Elevator  Free Wifi  + 7 more,1175,Very Good,Bangalore
Royal Bliss International,"Near Brand Factory, Bilekahalli, Bangalore·       8.1 km",3071.0,78,666.0,3.6, Parking facility  Elevator  Free Wifi  + 9 more,576,Good,Bangalore
Super OYO Flagship Varcity Phi Premium Pavilion Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore·       6.1 km",4117.0,67,1326.0,4.5, Living Room  Washing Machine  Balcony  + 44 more,4034,Excellent,Bangalore
OYO Townhouse Chic 364 Richmond Road Near Cubbon Park,"Near Baldwin Women College, Richmond Town, Bengaluru·       1.0 km",6165.0,66,2082.0,4.3, Reception  Free Wifi  Power backup  + 13 more,1406,Very Good,
Super OYO Hotel Subha Residency Near Cubbon Park,"Majestic, Bangalore·       2.7 km",3789.0,67,1220.0,4.4, TV  Free Wifi  Geyser  + 4 more,1686,Very Good,Bangalore
SPOT ON Janapriya Lodge Near Hare Krishna Hill,"Bangalore Urban, Bangalore·       7.0 km",3014.0,86,399.0,3.6, Doctor on call  Parking facility  Reception  + 7 more,352,Good,BangaloreBangalore
Super OYO Townhouse 264 Trendy – Q Rooms BTM Layout,"Near BTM Water Tank, Mico Layout, Bangalore·       6.6 km",6361.0,69,1933.0,4.8, Private entrance  Reception  Free Wifi  + 19 more,1755,Excellent,Bangalore
Super OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore·       4.8 km",6748.0,67,2173.0,4.9, Free Wifi  AC  TV ,3573,Fabulous,Bangalore
OYO Hotel Golden Inn Near Cubbon Park,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore·       2.0 km",3640.0,71,1053.0,3.5, Doctor on call  Hair Dryer  Ticket tour assistance  + 20 more,981,Good,Bangalore
OYO Varcity Park Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near SV Hospitals, Madiwala, Bangalore·       5.5 km",4157.0,67,1339.0,4.2,"AC,TV",2890,Very Good,Bangalore
OYO Shree Mookambika Guest House Near Sri Someshwara Swami Temple,"Kormangla, Bangalore·       3.9 km",2925.0,64,1024.0,3.7, Private entrance  Reception  Free Wifi  + 21 more,357,Good,Bangalore
Super OYO Capital O Premium Hotel Victoria Heights Near Sri Someshwara Swami Temple,"Near St.Philomena's Hospital, Xavier Layout, Bangalore·       2.1 km",4865.0,67,1567.0,4.0, Free Wifi  TV  TV  + 3 more,971,Very Good,Bangalore
Super OYO Townhouse 490 Indiranagar Extn,"Bangalore, Bangalore·       9.3 km",4517.0,65,1581.0,4.2, Reception  Free Wifi  Power backup  + 16 more,1028,Very Good,BangaloreBangalore
Capital O Hotel 24 Near opposite of Sagar Hospital,"Near SR Krishnappa Garden, Swagath Road, Bangalore·       4.8 km",4368.0,78,922.0,4.4, Reception  Free Wifi  Caretaker  + 13 more,601,Very Good,Bangalore
Super OYO Collection O Sabharwal Residency Near Lalbagh Botanical Garden,"Opposite Shanthinagar, Bangalore·       1.7 km",5539.0,64,1939.0,4.9, Elevator  Free Wifi  Geyser  + 4 more,264,Fabulous,Bangalore
SPOT ON Hotel Sri Thirumala Lodge,"Opp BHEL, Bangalore·       6.7 km",2224.0,65,778.0,4.2, Parking facility  Reception  Free Wifi  + 15 more,563,Very Good,Bangalore
Super OYO Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore·       5.5 km",4157.0,65,1455.0,4.5, Free Wifi  AC  TV  + 1 more,2653,Excellent,Bangalore
Super OYO Collection O Hotel Tiara Near Christ university,"Tavarekere Main Rd, Bangalore·       4.8 km",4299.0,67,1385.0,3.7, Free Wifi  Geyser  Power backup  + 1 more,631,Good,Bangalore
OYO Flagship Varcity Pearl Near Nexus Mall Koramangala,"Near Forum Mall, Koramangala, Bangalore·       5.5 km",4817.0,67,1551.0,3.6, Elevator  Free Wifi  Geyser  + 5 more,121,Good,Bangalore
Collection O Vijaya Lakshmi Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"5600011, Bangalore·       4.8 km",3154.0,67,1010.0,4.0, Doctor on call  Reception  Power backup  + 26 more,3121,Very Good,Bangalore
Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar,"India, Bangalore·       4.9 km",7499.0,67,2415.0,4.5, Parking facility  Elevator  Free Wifi  + 7 more,385,Excellent,Bangalore
Super OYO Nar Comforts Near Majestic & near KSR Railway station,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet, Bangalore·       2.1 km",4731.0,67,1524.0,3.6, Free Wifi  Geyser  Power backup  + 3 more,47,Good,Bangalore
Collection O Sunshine Studio Rooms,"Thanisandra, Bangalore·       9.9 km",3052.0,67,983.0,3.9, Free Wifi  Geyser  Power backup  + 5 more,1609,Good,Bangalore
Collection O 73977 Malleswaram,"Near Bsnl Office, Emerald Residency, Bangalore·       3.5 km",8108.0,65,2838.0,4.6, AC  TV ,1025,Excellent,Bangalore
Super OYO Townhouse 258 Spruce Hotels Bellandur,"Bellandur, Bangalore·       9.4 km",8643.0,77,1915.0,4.0, Coffee/tea maker  Free Wifi  AC  + 3 more,855,Very Good,Bangalore
Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira,"(landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore·       6.4 km",3428.0,64,1200.0,4.2, Doctor on call  Parking facility  Reception  + 17 more,347,Very Good,Bangalore
Super OYO Townhouse 238 Tierra Woods Near Halasuru Metro Station,"Halasuru, Bangalore·       3.6 km",7155.0,65,2504.0,4.3, Parking facility  Reception  Free Wifi  + 9 more,1620,Very Good,Bangalore
OYO The Royal International Hotel,"Near Robert Bosch Company, Mangammanapalya, Bangalore·       8.8 km",2848.0,64,997.0,3.3, Reception  Free Wifi  Power backup  + 15 more,872,very good,Bangalore
Super OYO Capital O High end Withinn Hotel Near Hare Krishna Hill,"Near NIAS, Mathikere Extension, Bangalore·       7.4 km",5565.0,65,1948.0,4.6, Parking facility  Reception  Free Wifi  + 14 more,946,Excellent,Bangalore
Flagship New Guest Inn Near Nexus Mall Koramangala,"Near Teacher's Colony Park, Koramangala, Bangalore·       7.3 km",3102.0,78,664.0,4.8, Elevator  Free Wifi  Geyser  + 7 more,1980,Excellent,Bangalore
Super OYO Townhouse 273 Hosur Main Road Bommanahalli Near Gopalan Innovation Mall,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore·       8.4 km",6938.0,65,2428.0,2.9, Electric Kettle  Free Wifi  AC  + 4 more,139,very good,Bangalore
Capital O Victorian Comforts Near Sri Someshwara Swami Temple,"Near Adams Creation, Victoria Layout, Bangalore·       2.4 km",4814.0,65,1685.0,3.8, Parking facility  Reception  Free Wifi  + 11 more,1414,Good,Bangalore
Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore·       8.8 km",4292.0,65,1502.0,4.0, Parking facility  Free Wifi  Geyser  + 7 more,1576,Very Good,Bangalore
OYO Varcity Comforts Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"B T M Layout, Bangalore·       5.6 km",3248.0,64,1137.0,4.1, Reception  Free Wifi  Power backup  + 15 more,2717,Very Good,Bangalore
Super OYO Townhouse OAK Clove Boutique Hotel Rajaji Nagar,"4th Block, Rajaji Nagar, Bangalore·       4.0 km",7422.0,65,2598.0,4.9, Parking facility  Reception  Free Wifi  + 21 more,1337,Fabulous,Bangalore
OYO Exotic Stay Bg Road,"Bangalore Urban, Bangalore·       9.6 km",2647.0,65,926.0,3.1, Reception  Geyser  Caretaker  + 3 more,158,very good,BangaloreBangalore
